date,ticker,close
2025-11-14,490600,8790
2025-11-17,402970,12805
2025-11-17,441640,12665
2025-11-17,458730,12635
2025-11-17,490600,8835
2025-11-18,402970,12710
2025-11-18,441640,12485
2025-11-18,458730,12510
2025-11-18,490600,8745
2025-11-19,402970,12810
2025-11-19,441640,12435
2025-11-19,458730,12650
2025-11-19,490600,8765
2025-11-20,402970,12790
2025-11-20,441640,12605
2025-11-20,458730,12615
2025-11-20,490600,8765
2025-11-21,402970,12685
2025-11-21,441640,12440
2025-11-21,458730,12505
2025-11-21,490600,8780
2025-11-24,402970,12875
2025-11-24,441640,12570
2025-11-24,458730,12690
2025-11-24,490600,8885
2025-11-25,402970,12785
2025-11-25,441640,12600
2025-11-25,458730,12620
2025-11-25,490600,8865
2025-11-26,402970,12900
2025-11-26,441640,12740
2025-11-26,458730,12710
2025-11-26,490600,8925
2025-11-27,402970,12945
2025-11-27,441640,12775
2025-11-27,458730,12735
2025-11-27,490600,8825
2025-11-28,402970,13000
2025-11-28,441640,12880
2025-11-28,458730,12765
2025-11-28,490600,8790
2025-12-01,402970,13025
2025-12-01,441640,12920
2025-12-01,458730,12820
2025-12-01,490600,8805
2025-12-02,402970,13005
2025-12-02,441640,12810
2025-12-02,458730,12775
2025-12-02,490600,8820
2025-12-03,402970,12975
2025-12-03,441640,12820
2025-12-03,458730,12755
2025-12-03,490600,8800
2025-12-04,402970,13165
2025-12-04,441640,12890
2025-12-04,458730,12930
2025-12-04,490600,8900
2025-12-05,402970,13155
2025-12-05,441640,12900
2025-12-05,458730,12925
2025-12-05,490600,8885
2025-12-08,402970,13080
2025-12-08,441640,12905
2025-12-08,458730,12880
2025-12-08,490600,8870
2025-12-09,402970,13075
2025-12-09,441640,12870
2025-12-09,458730,12855
2025-12-09,490600,8840
2025-12-10,402970,13015
2025-12-10,441640,12795
2025-12-10,458730,12790
2025-12-10,490600,8850
2025-12-11,402970,13170
2025-12-11,441640,12800
2025-12-11,458730,12945
2025-12-11,490600,8945
2025-12-12,402970,13215
2025-12-12,441640,12920
2025-12-12,458730,13055
2025-12-12,490600,9020
2025-12-15,402970,13255
2025-12-15,441640,12870
2025-12-15,458730,13070
2025-12-15,490600,9035
2025-12-16,402970,13245
2025-12-16,441640,12870
2025-12-16,458730,13085
2025-12-16,490600,9055
2025-12-17,402970,13185
2025-12-17,441640,12855
2025-12-17,458730,13025
2025-12-17,490600,9010
2025-12-18,402970,13205
2025-12-18,441640,12790
2025-12-18,458730,13020
2025-12-18,490600,9045
2025-12-19,402970,13135
2025-12-19,441640,12805
2025-12-19,458730,13000
2025-12-19,490600,8990
2025-12-22,402970,13185
2025-12-22,441640,12910
2025-12-22,458730,13015
2025-12-22,490600,8990
2025-12-23,402970,13265
2025-12-23,441640,12980
2025-12-23,458730,13115
2025-12-23,490600,9005
2025-12-24,402970,12995
2025-12-24,441640,12760
2025-12-24,458730,12975
2025-12-24,490600,8915
2025-12-26,402970,12945
2025-12-26,441640,12760
2025-12-26,458730,12810
2025-12-26,490600,8885
2025-12-29,402970,12855
2025-12-29,441640,12635
2025-12-29,458730,12670
2025-12-29,490600,8665
2025-12-30,402970,12900
2025-12-30,441640,12655
2025-12-30,458730,12750
2025-12-30,490600,8710
2026-01-02,402970,12900
2026-01-02,441640,12595
2026-01-02,458730,12705
2026-01-02,490600,8665
2026-01-05,402970,13065
2026-01-05,441640,12665
2026-01-05,458730,12855
2026-01-05,490600,8750
2026-01-06,402970,13075
2026-01-06,441640,12755
2026-01-06,458730,12875
2026-01-06,490600,8740
2026-01-07,402970,13170
2026-01-07,441640,12810
2026-01-07,458730,12970
2026-01-07,490600,8780
2026-01-08,402970,13090
2026-01-08,441640,12695
2026-01-08,458730,12925
2026-01-08,490600,8750
2026-01-09,402970,13385
2026-01-09,441640,12885
2026-01-09,458730,13175
2026-01-09,490600,8875
2026-01-12,402970,13520
2026-01-12,441640,12940
2026-01-12,458730,13310
2026-01-12,490600,8960
2026-01-13,402970,13555
2026-01-13,441640,13065
2026-01-13,458730,13350
2026-01-13,490600,9015
2026-01-14,402970,13585
2026-01-14,441640,12920
2026-01-14,458730,13435
2026-01-14,490600,9035
2026-01-15,402970,13760
2026-01-15,441640,12900
2026-01-15,458730,13590
2026-01-15,490600,9140
2026-01-16,402970,13810
2026-01-16,441640,12970
2026-01-16,458730,13670
2026-01-16,490600,9210
2026-01-19,402970,13650
2026-01-19,441640,12920
2026-01-19,458730,13535
2026-01-19,490600,9140
2026-01-20,402970,13655
2026-01-20,441640,12905
2026-01-20,458730,13505
2026-01-20,490600,9130
2026-01-21,402970,13620
2026-01-21,441640,12795
2026-01-21,458730,13445
2026-01-21,490600,9110
2026-01-22,402970,13790
2026-01-22,441640,12865
2026-01-22,458730,13645
2026-01-22,490600,9235
2026-01-23,402970,13795
2026-01-23,441640,12875
2026-01-23,458730,13650
2026-01-23,490600,9240
2026-01-26,402970,13550
2026-01-26,441640,12650
2026-01-26,458730,13385
2026-01-26,490600,9085
2026-01-27,402970,13600
2026-01-27,441640,12745
2026-01-27,458730,13440
2026-01-27,490600,9080
2026-01-28,402970,13460
2026-01-28,441640,12580
2026-01-28,458730,13320
2026-01-28,490600,8940
2026-01-29,402970,13465
2026-01-29,441640,12580
2026-01-29,458730,13270
2026-01-29,490600,8825
2026-01-30,402970,13530
2026-01-30,441640,12660
2026-01-30,458730,13360
2026-01-30,490600,8890
2026-02-02,402970,13915
2026-02-02,441640,12735
2026-02-02,458730,13680
2026-02-02,490600,9060
2026-02-03,402970,13985
2026-02-03,441640,12905
2026-02-03,458730,13775
2026-02-03,490600,9110
2026-02-04,402970,14235
2026-02-04,441640,12975
2026-02-04,458730,14040
2026-02-04,490600,9205
2026-02-05,402970,14660
2026-02-05,441640,13130
2026-02-05,458730,14445
2026-02-05,490600,9430
2026-02-06,402970,14720
2026-02-06,441640,13060
2026-02-06,458730,14490
2026-02-06,490600,9435
2026-02-09,402970,14840
2026-02-09,441640,13240
2026-02-09,458730,14660
2026-02-09,490600,9535
2026-02-10,402970,14765
2026-02-10,441640,13235
2026-02-10,458730,14550
2026-02-10,490600,9475
2026-02-11,402970,14745
2026-02-11,441640,13205
2026-02-11,458730,14545
2026-02-11,490600,9465
2026-02-12,402970,14820
2026-02-12,441640,12995
2026-02-12,458730,14610
2026-02-12,490600,9475
2026-02-13,402970,14580
2026-02-13,441640,12840
2026-02-13,458730,14455
2026-02-13,490600,9420
2026-02-19,402970,14740
2026-02-19,441640,12910
2026-02-19,458730,14555
2026-02-19,490600,9495
2026-02-20,402970,14765
2026-02-20,441640,12895
2026-02-20,458730,14580
2026-02-20,490600,9485
2026-02-23,402970,14645
2026-02-23,441640,12845
2026-02-23,458730,14435
2026-02-23,490600,9375
2026-02-24,402970,14670
2026-02-24,441640,12790
2026-02-24,458730,14465
2026-02-24,490600,9400
2026-02-25,402970,14590
2026-02-25,441640,12730
2026-02-25,458730,14390
2026-02-25,490600,9380
2026-02-26,402970,14480
2026-02-26,441640,12685
2026-02-26,458730,14245
2026-02-26,490600,9155
2026-02-27,402970,14500
2026-02-27,441640,12770
2026-02-27,458730,14285
2026-02-27,490600,9200
2026-03-03,402970,14870
2026-03-03,441640,12915
2026-03-03,458730,14680
2026-03-03,490600,9415
2026-03-04,402970,14935
2026-03-04,441640,12925
2026-03-04,458730,14690
2026-03-04,490600,9420
2026-03-05,402970,14870
2026-03-05,441640,13060
2026-03-05,458730,14620
2026-03-05,490600,9375
2026-03-06,402970,14875
2026-03-06,441640,13055
