etf_id,ticker,period,as_of_date,target_start_date,actual_start_date,actual_end_date,total_return_pct,net_total_return_pct,return_basis,calculation_status,distribution_event_count,blocking_event_ids,price_observation_count,calculation_version,calculated_at
KR70000Z0003,0000Z0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,-40.572172,-40.572172,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,0.000000,0.000000,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,0.534188,0.534188,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-1.825769,-1.825769,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,12.157330,12.157330,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-5.474636,-5.474636,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-13.111727,-13.111727,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-36.311337,-36.311337,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,-0.264971,-0.264971,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70001P0004,0001P0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,-21.746362,-21.746362,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,0.000000,0.000000,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,0.198906,0.198906,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,0.149105,0.149105,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,2.701325,2.701325,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-6.539889,-6.539889,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,0.498753,0.498753,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,6.670196,6.670196,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,-2.184466,-2.184466,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70002C0008,0002C0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,-2.326709,-2.326709,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.494234,-0.494234,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,-2.987472,-2.987472,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-3.401215,-3.401215,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,-4.218205,-4.218205,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-6.006847,-6.006847,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-2.433771,-2.433771,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-4.076231,-4.076231,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,0.958324,0.958324,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70004G0002,0004G0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,3.059948,3.059948,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.160772,-0.160772,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,-1.167109,-1.167109,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-3.341289,-3.341289,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,-2.091654,-2.091654,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-9.422404,-9.422404,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-8.541973,-8.541973,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
