ticker,isin,name,listing_date,reference_price,reference_price_currency,source_name,source_receipt_no,source_url,notice_applied_date,notice_title,verification_status,verification_note,fetched_at
0215T0,KR70215T0002,HANARO 미국AI광통신TOP10,2026-07-14,9990,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000882,https://kind.krx.co.kr/external/2026/07/13/000882/20260713001850/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0216K0,KR70216K0000,KIWOOM 미국우주테크TOP2채권혼합50,2026-07-07,10000,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260706000908,https://kind.krx.co.kr/external/2026/07/06/000908/20260706001995/99401.htm,2026-07-07,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0216Z0,KR70216Z0003,ACE K방산TOP5+,2026-07-07,10275,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260706000907,https://kind.krx.co.kr/external/2026/07/06/000907/20260706001994/99401.htm,2026-07-07,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0218J0,KR70218J0001,RISE 미국우주&로봇TOP2미국채혼합50,2026-07-14,9995,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000881,https://kind.krx.co.kr/external/2026/07/13/000881/20260713001849/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0218K0,KR70218K0008,BNK 스마트카,2026-07-21,9700,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260720000822,https://kind.krx.co.kr/external/2026/07/20/000822/20260720001849/99401.htm,2026-07-21,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219B0,KR70219B0008,KoAct 광통신&위성네트워크액티브,2026-07-14,10170,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000885,https://kind.krx.co.kr/external/2026/07/13/000885/20260713001853/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219E0,KR70219E0005,KODEX 200커버드콜액티브,2026-07-14,8745,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000884,https://kind.krx.co.kr/external/2026/07/13/000884/20260713001852/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0219Z0,KR70219Z0000,HANARO 미국S&P500액티브,2026-08-04,9995,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260803001087,https://kind.krx.co.kr/external/2026/08/03/001087/20260803002346/99401.htm,2026-08-04,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0220A0,KR70220A0006,KIWOOM 현대차그룹TOP3채권혼합50,2026-07-14,9765,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000883,https://kind.krx.co.kr/external/2026/07/13/000883/20260713001851/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0220B0,KR70220B0005,DS 코스닥액티브,2026-07-14,11320,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260713000886,https://kind.krx.co.kr/external/2026/07/13/000886/20260713001854/99401.htm,2026-07-14,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0221V0,KR70221V0000,IBK 초단기채권액티브,2026-07-21,100025,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260720000820,https://kind.krx.co.kr/external/2026/07/20/000820/20260720001847/99401.htm,2026-07-21,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0221Z0,KR70221Z0006,ACE K바이오코스닥액티브,2026-07-21,9665,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260720000821,https://kind.krx.co.kr/external/2026/07/20/000821/20260720001848/99401.htm,2026-07-21,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0222D0,KR70222D0001,KoAct 고배당액티브,2026-07-28,10330,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260727000812,https://kind.krx.co.kr/external/2026/07/27/000812/20260727001859/99401.htm,2026-07-28,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0222F0,KR70222F0009,마이티 AI데이터센터밸류체인,2026-08-04,11090,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260803001090,https://kind.krx.co.kr/external/2026/08/03/001090/20260803002349/99401.htm,2026-08-04,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0223A0,KR70223A0003,RISE 코스닥커버드콜액티브,2026-07-28,9855,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260727000814,https://kind.krx.co.kr/external/2026/07/27/000814/20260727001855/99401.htm,2026-07-28,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0223R0,KR70223R0004,TIGER 미국테크NYSE100액티브,2026-07-21,10000,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260720000819,https://kind.krx.co.kr/external/2026/07/20/000819/20260720001846/99401.htm,2026-07-21,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0224D0,KR70224D0009,KIWOOM 미국CPU반도체TOP4+,2026-07-28,10000,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260727000815,https://kind.krx.co.kr/external/2026/07/27/000815/20260727001854/99401.htm,2026-07-28,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0224X0,KR70224X0005,1Q 엔비디아알파벳미국채혼합50,2026-07-28,10010,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260727000816,https://kind.krx.co.kr/external/2026/07/27/000816/20260727001860/99401.htm,2026-07-28,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0225V0,KR70225V0006,KODEX 미국CPU반도체TOP10,2026-08-04,9965,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260803001089,https://kind.krx.co.kr/external/2026/08/03/001089/20260803002348/99401.htm,2026-08-04,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0226A0,KR70226A0000,PLUS SK하이닉스샌디스크채권혼합50,2026-08-04,10000,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260803001088,https://kind.krx.co.kr/external/2026/08/03/001088/20260803002347/99401.htm,2026-08-04,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
0226G0,KR70226G0004,WON 피지컬AI TOP2플러스액티브,2026-08-04,11510,KRW,KRX KIND ETF 신규상장 기준가격 안내,20260803001086,https://kind.krx.co.kr/external/2026/08/03/001086/20260803002345/99401.htm,2026-08-04,:: 99401_ETF 신규상장 기준가격 안내,official_verified,KRX KIND listing-reference-price notice verified.,2026-08-18T07:00:46+09:00
