ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0177N0,KR70177N0004,KR70177N0004,2026-04-07,verified_official,synced
0177R0,KR70177R0000,KR70177R0000,2026-04-21,verified_official,synced
0177X0,KR70177X0002,KR70177X0002,2026-04-07,verified_official,synced
0178H0,KR70178H0001,KR70178H0001,2026-04-28,verified_official,synced
0180V0,KR70180V0009,KR70180V0009,2026-04-14,verified_official,synced
0181B0,KR70181B0002,KR70181B0002,2026-05-12,verified_official,synced
0181L0,KR70181L0000,KR70181L0000,2026-04-21,verified_official,synced
0182R0,KR70182R0003,KR70182R0003,2026-04-14,verified_official,synced
0182S0,KR70182S0002,KR70182S0002,2026-04-14,verified_official,synced
0183J0,KR70183J0002,KR70183J0002,2026-04-14,verified_official,synced
0183V0,KR70183V0006,KR70183V0006,2026-04-21,verified_official,synced
0184E0,KR70184E0006,KR70184E0006,2026-04-21,verified_official,synced
0184L0,KR70184L0007,KR70184L0007,2026-05-12,verified_official,synced
0184N0,KR70184N0005,KR70184N0005,2026-05-12,verified_official,synced
0184V0,KR70184V0005,KR70184V0005,2026-05-12,verified_official,synced
0185L0,KR70185L0006,KR70185L0006,2026-05-19,verified_official,synced
0186L0,KR70186L0005,KR70186L0005,2026-04-28,verified_official,synced
0186S0,KR70186S0008,KR70186S0008,2026-04-28,verified_official,synced
0189B0,KR70189B0004,KR70189B0004,2026-04-28,verified_official,synced
0189Z0,KR70189Z0006,KR70189Z0006,2026-06-09,verified_official,synced
0190C0,KR70190C0000,KR70190C0000,2026-05-12,verified_official,synced
0190G0,KR70190G0006,KR70190G0006,2026-05-12,verified_official,synced
0190M0,KR70190M0008,KR70190M0008,2026-05-12,verified_official,synced
0190Y0,KR70190Y0004,KR70190Y0004,2026-05-12,verified_official,synced
0191B0,KR70191B0000,KR70191B0000,2026-05-19,verified_official,synced
0191M0,KR70191M0007,KR70191M0007,2026-06-02,verified_official,synced
0191S0,KR70191S0001,KR70191S0001,2026-05-19,verified_official,synced
0191W0,KR70191W0005,KR70191W0005,2026-05-19,verified_official,synced
0192L0,KR70192L0007,KR70192L0007,2026-05-27,verified_official,synced
0192M0,KR70192M0006,KR70192M0006,2026-05-27,verified_official,synced
0192S0,KR70192S0000,KR70192S0000,2026-05-19,verified_official,synced
0192T0,KR70192T0009,KR70192T0009,2026-05-19,verified_official,synced
0192Z0,KR70192Z0001,KR70192Z0001,2026-05-19,verified_official,synced
0193G0,KR70193G0003,KR70193G0003,2026-05-19,verified_official,synced
0193K0,KR70193K0007,KR70193K0007,2026-05-27,verified_official,synced
0193L0,KR70193L0006,KR70193L0006,2026-05-27,verified_official,synced
0193M0,KR70193M0005,KR70193M0005,2026-06-16,verified_official,synced
0193T0,KR70193T0008,KR70193T0008,2026-05-27,verified_official,synced
0193W0,KR70193W0003,KR70193W0003,2026-05-27,verified_official,synced
0194M0,KR70194M0004,KR70194M0004,2026-05-27,verified_official,synced
0194N0,KR70194N0003,KR70194N0003,2026-05-27,verified_official,synced
0194R0,KR70194R0009,KR70194R0009,2026-05-27,verified_official,synced
0194T0,KR70194T0007,KR70194T0007,2026-05-27,verified_official,synced
0195R0,KR70195R0008,KR70195R0008,2026-05-27,verified_official,synced
0195S0,KR70195S0007,KR70195S0007,2026-05-27,verified_official,synced
0197W0,KR70197W0009,KR70197W0009,2026-05-27,verified_official,synced
0197X0,KR70197X0008,KR70197X0008,2026-05-27,verified_official,synced
0198A0,KR70198A0004,KR70198A0004,2026-06-30,verified_official,synced
0198B0,KR70198B0003,KR70198B0003,2026-05-27,verified_official,synced
0198D0,KR70198D0001,KR70198D0001,2026-05-27,verified_official,synced
0199C0,KR70199C0001,KR70199C0001,2026-06-02,verified_official,synced
0203D0,KR70203D0004,KR70203D0004,2026-06-02,verified_official,synced
0203R0,KR70203R0008,KR70203R0008,2026-06-02,verified_official,synced
0203S0,KR70203S0007,KR70203S0007,2026-06-02,verified_official,synced
0204D0,KR70204D0003,KR70204D0003,2026-06-09,verified_official,synced
0204S0,KR70204S0006,KR70204S0006,2026-06-02,verified_official,synced
0206G0,KR70206G0008,KR70206G0008,2026-06-09,verified_official,synced
0207G0,KR70207G0007,KR70207G0007,2026-06-16,verified_official,synced
0207Z0,KR70207Z0004,KR70207Z0004,2026-06-16,verified_official,synced
0208N0,KR70208N0007,KR70208N0007,2026-06-23,verified_official,synced
0209D0,KR70209D0008,KR70209D0008,2026-06-23,verified_official,synced
0209Z0,KR70209Z0002,KR70209Z0002,2026-06-23,verified_official,synced
0210A0,KR70210A0008,KR70210A0008,2026-06-23,verified_official,synced
0210E0,KR70210E0004,KR70210E0004,2026-06-23,verified_official,synced
0214M0,KR70214M0000,KR70214M0000,2026-07-28,verified_official,synced
0215T0,KR70215T0002,KR70215T0002,2026-07-14,verified_official,synced
0216K0,KR70216K0000,KR70216K0000,2026-07-07,verified_official,synced
0216Z0,KR70216Z0003,KR70216Z0003,2026-07-07,verified_official,synced
0218J0,KR70218J0001,KR70218J0001,2026-07-14,verified_official,synced
0218K0,KR70218K0008,KR70218K0008,2026-07-21,verified_official,synced
0219B0,KR70219B0008,KR70219B0008,2026-07-14,verified_official,synced
0219E0,KR70219E0005,KR70219E0005,2026-07-14,verified_official,synced
0219Z0,KR70219Z0000,KR70219Z0000,2026-08-04,verified_official,synced
0220A0,KR70220A0006,KR70220A0006,2026-07-14,verified_official,synced
