normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
MIRAE-ASSET-CHINA-HUMANOID-ROBOT-지수-PR-aa54294f7f,Mirae Asset China Humanoid Robot 지수(PR),MIRAE-ASSET-CHINA-HUMANOID-ROBOT-지수-PR-aa54294f7f,테마,로봇,normalized_master
코스피-200-중소형주지수-3ed34795f6,코스피 200 중소형주지수,코스피-200-중소형주지수-3ed34795f6,규모,규모주,normalized_master
SP500,S&P 500 and U.S. Treasury Bill 0-3 Month 50/50 Blend Index (USD),SP500,혼합자산,자산배분,normalized_master
FTSE-GLOBAL-ALL-CAP-INDEX-PR-032c461169,FTSE Global All Cap Index(PR),FTSE-GLOBAL-ALL-CAP-INDEX-PR-032c461169,일반주식,지수기반,normalized_master
KAP-단기-특수은행채-지수-시장가격-dbfbb85efa,KAP 단기 특수은행채 지수(시장가격),KAP-단기-특수은행채-지수-시장가격-dbfbb85efa,채권,금융채/초단기/미확인등급,normalized_master
BLOOMBERG-GOLD-SPOT-NY-4PM-USD-INDEX-b5e7903de7,Bloomberg Gold Spot NY 4pm USD Index,BLOOMBERG-GOLD-SPOT-NY-4PM-USD-INDEX-b5e7903de7,원자재,금,normalized_master
HANG-SENG-CHINA-TECH-TOP-10-SELECT-INDEX-HKD-7e2a8cf021,Hang Seng China Tech Top 10 Select Index (HKD) (Price Return),HANG-SENG-CHINA-TECH-TOP-10-SELECT-INDEX-HKD-7e2a8cf021,일반주식,지수기반,normalized_master
KEDI-국제금현물-ETF-가격지수-PR-fcb007c0cf,KEDI 국제금현물 ETF 가격지수(PR),KEDI-국제금현물-ETF-가격지수-PR-fcb007c0cf,원자재,금,normalized_master
SOLACTIVE-KEDI-차이나글로벌리더스TOP3플러스-지수-PRICE-RET-fd14c04424,"Solactive-KEDI 차이나글로벌리더스TOP3플러스 지수 (Price Return, CNH)",SOLACTIVE-KEDI-차이나글로벌리더스TOP3플러스-지수-PRICE-RET-fd14c04424,일반주식,지수기반,normalized_master
MIRAE-ASSET-CHINA-AI-SOFTWARE-지수-PRICE-RETUR-1e69bd19ab,"Mirae Asset China AI Software 지수 (Price Return, HKD)",MIRAE-ASSET-CHINA-AI-SOFTWARE-지수-PRICE-RETUR-1e69bd19ab,일반주식,지수기반,normalized_master
SP500,S&P500 10% Buffered Index June Series (USD) TR,SP500,대표지수,S&P500,normalized_master
NASDAQ-100-a3293b2356,NASDAQ 100,NASDAQ-100-a3293b2356,대표지수,NASDAQ100,normalized_master
KRX-금현물지수-a5aac6d62e,KRX 금현물지수,KRX-금현물지수-a5aac6d62e,원자재,금,normalized_master
KEDI-알리바바미국채커버드콜혼합지수-TR-d5fd8b28d4,KEDI 알리바바미국채커버드콜혼합지수(TR),KEDI-알리바바미국채커버드콜혼합지수-TR-d5fd8b28d4,혼합자산,자산배분,normalized_master
