ticker,standard_code,fund_name,fund_type,base_date,issuer
0060H0,K55301EK7888,미래에셋TIGER토탈월드스탁액티브증권상장지수투자신탁(주식),주식형,20250620,미래에셋자산운용
0061Z0,K55223EJ5633,KBRISE단기특수은행채액티브증권상장지수투자신탁(채권),채권형,20250623,케이비자산운용
0064K0,K55105EK8983,삼성KODEX금액티브특별자산상장지수투자신탁[금-파생재간접형],특별자산파생,20250613,삼성자산운용
0065G0,K55105EK8991,삼성KODEX차이나테크TOP10증권상장지수투자신탁[주식],주식형,20250613,삼성자산운용
0066W0,K55210EK7169,신한SOL국제금특별자산상장지수투자신탁[금-재간접형],특별자산,20250613,신한자산운용
0067V0,K55301EL0767,미래에셋TIGER차이나글로벌리더스TOP3+증권상장지수투자신탁(주식),주식형,20250613,미래에셋자산운용
0067Y0,K55301EK5932,미래에셋TIGER차이나AI소프트웨어증권상장지수투자신탁(주식),주식형,20250613,미래에셋자산운용
0068M0,K55105EL1938,삼성KODEX미국S&amp;P500버퍼6월액티브증권상장지수투자신탁[주식-파생형],주식파생형,20250620,삼성자산운용
0069M0,K55102EL5296,하나1Q미국나스닥100증권상장지수투자신탁[주식],주식형,20250620,하나자산운용
0072R0,K55301EI4806,미래에셋TIGERKRX금현물특별자산상장지수투자신탁(금),특별자산,20250620,미래에셋자산운용
0074K0,K553N9EL0774,삼성액티브KoActK수출핵심기업TOP30액티브증권상장지수투자신탁[주식],주식형,20250707,삼성액티브자산운용
0078V0,K55213EL7496,한화PLUS미국로보택시증권상장지수투자신탁(주식),주식형,20250718,한화자산운용
0079X0,K55101EJ7669,한국투자ACEBYD밸류체인액티브증권상장지수투자신탁(주식),주식형,20250711,한국투자신탁운용
0080G0,K55105EL4742,삼성KODEX방산TOP10증권상장지수투자신탁[주식],주식형,20250714,삼성자산운용
0080X0,K55210EL7325,신한SOL미국S&amp;P500미국채혼합50증권상장지수투자신탁[채권혼합],혼합채권형,20250711,신한자산운용
0080Y0,K55210EL7416,신한SOL조선TOP3플러스레버리지증권상장지수투자신탁[주식-파생형],주식파생형,20250711,신한자산운용
0082F0,K55232EM2121,NH-AmundiHANARO유럽방산증권상장지수투자신탁[주식],주식형,20250725,엔에이치아문디자산운용
0083S0,K55102EM4231,하나1Q미국메디컬AI증권상장지수투자신탁[주식],주식형,20250718,하나자산운용
