ticker,shares,nav,bas_dt
250730,1700000,9901.76,20260922
250780,2750000,2446.23,20260922
251340,47700000,2442.51,20260922
251350,12800000,38623.96,20260922
251590,700000,17126.0,20260922
251600,38800000,15343.48,20260922
252000,450000,19387.09,20260922
252400,600000,105772.24,20260922
252410,2100000,1271.47,20260922
252420,50100000,73.86,20260922
252650,600000,18521.38,20260922
252670,10612500000,69.71,20260922
252710,348800000,76.17,20260922
253150,250000,211315.66,20260922
253160,9200000,142.84,20260922
253230,33100000,70.57,20260922
253240,1220000,1269.57,20260922
253250,290000,104105.11,20260922
253280,600000,11800.0,20260922
253290,1800000,11425.04,20260922
256440,6100000,4975.97,20260922
256450,500000,14746.87,20260922
256750,3059000,15106.99,20260922
261060,1140000,25927.54,20260922
261070,4640000,10824.17,20260922
261110,500000,15506.22,20260922
261120,4000000,5461.46,20260922
261140,1280000,24821.73,20260922
261220,1925000,26927.97,20260922
261240,4540000,14074.75,20260922
261250,2250000,15457.59,20260922
261260,33320000,5501.32,20260922
261270,11000000,8227.98,20260922
261920,100000,11570.94,20260922
265690,1850000,48.43,20260922
266160,6350000,33770.71,20260922
266360,3700000,9370.45,20260922
266370,1550000,71037.16,20260922
266390,600000,15143.15,20260922
266410,1200000,9563.23,20260922
266420,4300000,15646.85,20260922
266550,250000,18348.42,20260922
267440,600000,8003.68,20260922
267450,500000,11226.22,20260922
267490,700000,4915.6,20260922
267770,2400000,87363.06,20260922
269370,700000,16266.98,20260922
269420,1032000,21134.66,20260922
269530,600000,18976.06,20260922
269540,3000000,30291.0,20260922
270800,550000,15616.92,20260922
270810,23380000,13916.71,20260922
271050,125825000,1745.42,20260922
271060,3090000,9204.09,20260922
272560,1370000,114843.78,20260922
272570,118000,107514.87,20260922
272580,13848000,57166.59,20260922
272910,708000,105790.48,20260922
273130,32287000,109584.82,20260922
273140,2441000,114576.9,20260922
275280,900000,44089.15,20260922
275290,900000,35555.39,20260922
275300,1700000,30853.44,20260922
275750,950000,2471.31,20260922
275980,2500000,23846.74,20260922
276000,900000,20743.79,20260922
276650,750000,48103.35,20260922
276970,4700000,7491.22,20260922
276990,1770000,24842.33,20260922
277540,800000,32729.07,20260922
277630,8200000,73220.87,20260922
277640,1700000,38511.67,20260922
277650,200000,21090.28,20260922
278240,7090000,7625.42,20260922
278530,195600000,40536.05,20260922
278540,61600000,39974.98,20260922
278620,560000,119073.52,20260922
279530,19800000,17422.15,20260922
279540,600000,21399.19,20260922
280320,100000,22197.9,20260922
280920,450000,23476.05,20260922
280930,1400000,16224.83,20260922
280940,800000,3458.28,20260922
281990,550000,17642.37,20260922
282000,102000,115335.01,20260922
283580,16500000,14911.0,20260922
284430,96960000,20909.73,20260922
284980,860000,22874.18,20260922
285690,350000,21687.25,20260922
287180,900000,56058.86,20260922
289040,600000,34591.69,20260922
289250,570000,35977.51,20260922
289260,600000,29633.07,20260922
289480,2100000,13265.66,20260922
289670,128000,51787.97,20260922
290080,1650000,7328.25,20260922
290130,14200000,48953.55,20260922
291130,600000,17251.63,20260922
291620,570000,4334.86,20260922
291630,1450000,3416.78,20260922
291680,500000,7877.93,20260922
291890,450000,12653.49,20260922
292050,350000,50705.45,20260922
292150,49800000,39318.19,20260922
292160,500000,49497.95,20260922
292190,1500000,49286.58,20260922
292500,500000,50439.22,20260922
292560,6100000,7961.52,20260922
292770,1074000,58058.11,20260922
293180,3950000,112220.5,20260922
294400,12650000,146968.11,20260922
295000,100000,51054.93,20260922
295020,396000,61129.97,20260922
295040,24900000,41972.35,20260922
298340,1288000,56388.97,20260922
298770,1100000,83972.11,20260922
300610,2300000,5349.25,20260922
300640,3250000,6322.09,20260922
300950,4200000,5351.74,20260922
301400,650000,14135.43,20260922
302190,3880000,49872.39,20260922
302450,5600000,72737.86,20260922
304660,18000000,7223.83,20260922
304670,600000,12454.07,20260922
304760,400000,48540.48,20260922
304770,1420000,14003.58,20260922
304780,450000,128888.39,20260922
304940,3400000,33479.65,20260922
305050,650000,72927.97,20260922
305080,18000000,11876.19,20260922
305540,50000000,18328.57,20260922
305720,117900000,14347.45,20260922
306520,600000,2303.1,20260922
306530,440000,6804.94,20260922
306950,800000,80631.55,20260922
307510,500000,11853.53,20260922
307520,12250000,22375.04,20260922
308620,8300000,11160.17,20260922
309230,3680000,29722.86,20260922
310080,1150000,9198.01,20260922
310960,5600000,65370.75,20260922
310970,92900000,50215.7,20260922
314250,10430000,64781.84,20260922
314700,550000,10588.48,20260922
315270,380000,18903.89,20260922
315930,12000000,81245.87,20260922
315960,6600000,79576.3,20260922
316300,500000,12211.14,20260922
316670,6860000,6985.42,20260922
319640,4600000,25506.18,20260922
321410,300000,10578.06,20260922
322400,3300000,9709.13,20260922
322410,1750000,22915.46,20260922
325010,2900000,44371.5,20260922
325020,3100000,29591.65,20260922
326230,640000,10927.06,20260922
326240,2540000,44976.58,20260922
328370,3100000,39435.88,20260922
329200,384450000,4087.84,20260922
329650,16500000,14023.2,20260922
329660,4700000,17753.68,20260922
329670,4000000,21847.23,20260922
329750,54470000,12846.82,20260922
332500,2400000,75299.32,20260922
332610,96000,123289.6,20260922
332620,187000,86553.71,20260922
332930,1450000,146910.37,20260922
332940,2400000,50030.43,20260922
334690,700000,5887.46,20260922
334700,650000,3309.03,20260922
336160,469000,99950.32,20260922
337120,600000,35373.21,20260922
337140,2200000,37251.05,20260922
337150,600000,25282.98,20260922
337160,3400000,49095.14,20260922
341850,2000000,4600.47,20260922
352540,3400000,10949.25,20260922
352560,2650000,11899.69,20260922
354240,1100000,10227.24,20260922
354350,520000,17909.46,20260922
354500,10600000,14129.62,20260922
356540,11323000,101001.62,20260922
357870,58170000,58089.56,20260922
359210,2300000,36431.16,20260922
360140,2200000,23349.29,20260922
360150,4100000,2978.16,20260922
360200,151300000,26452.33,20260922
360750,796250000,26165.98,20260922
361580,8150000,63620.08,20260922
363510,114000,112256.46,20260922
363570,2714000,85952.53,20260922
363580,4150000,58006.17,20260922
364690,600000,39791.6,20260922
364960,11900000,6156.37,20260922
364970,37250000,6623.66,20260922
364980,68300000,10046.71,20260922
364990,4500000,4528.06,20260922
365000,10100000,3506.62,20260922
365040,2100000,37023.25,20260922
365780,6296000,81971.27,20260922
367380,113400000,31514.57,20260922
367740,550000,43845.32,20260922
367760,11600000,61277.44,20260922
367770,5150000,22299.23,20260922
368190,3200000,7573.59,20260922
368590,52900000,30575.02,20260922
368680,800000,7630.91,20260922
371150,1300000,6405.49,20260922
371160,81650000,6569.16,20260922
371450,1560000,13915.65,20260922
371460,71720000,9314.76,20260922
371470,5280000,8804.71,20260922
371870,1600000,6428.95,20260922
372330,16700000,6550.93,20260922
373490,550000,24948.69,20260922
373790,280000,14904.63,20260922
375270,650000,13618.69,20260922
375760,900000,24929.86,20260922
375770,1800000,25251.66,20260922
376410,900000,25003.88,20260922
377990,4950000,23689.85,20260922
379780,65400000,22872.83,20260922
379790,1150000,17160.28,20260922
379800,435450000,23785.6,20260922
379810,354650000,27413.57,20260922
380340,1200000,28115.46,20260922
381170,123900000,31859.96,20260922
381180,135550000,43929.77,20260922
381560,1050000,17331.92,20260922
381570,850000,9840.69,20260922
385510,8700000,37969.35,20260922
385520,2150000,15756.58,20260922
385540,21204000,102675.5,20260922
385550,3264000,114262.89,20260922
385560,8626000,49979.6,20260922
385590,2300000,24597.88,20260922
385600,1500000,11628.84,20260922
385710,1000000,10179.3,20260922
385720,15300000,26015.75,20260922
387270,1160000,25981.71,20260922
387280,1270000,11648.33,20260922
388280,3260000,7055.94,20260922
388420,8840000,28609.49,20260922
390390,24200000,55041.48,20260922
390400,800000,6792.38,20260922
391600,450000,10122.58,20260922
391670,600000,29622.45,20260922
394660,6560000,15406.45,20260922
394670,14600000,10575.13,20260922
395150,4800000,1821.9,20260922
395160,100400000,42054.83,20260922
395170,2000000,15567.73,20260922
395270,62700000,59821.11,20260922
395280,2350000,3423.36,20260922
395290,6350000,4811.36,20260922
395750,400000,20960.55,20260922
395760,550000,21840.2,20260922
396500,266450000,38440.69,20260922
396510,1800000,6926.16,20260922
396520,40920000,13420.37,20260922
399110,5700000,20621.03,20260922
399580,1000000,9364.94,20260922
400570,1060000,11867.47,20260922
400580,500000,12216.08,20260922
400590,500000,13874.75,20260922
400970,5000000,7122.1,20260922
401170,3900000,10540.71,20260922
401470,5800000,9365.02,20260922
401590,510000,11050.28,20260922
402460,500000,14517.5,20260922
402970,64100000,14691.05,20260922
403790,2925000,59129.43,20260922
404120,800000,24615.66,20260922
404260,800000,23854.05,20260922
404540,500000,23853.86,20260922
404650,600000,23650.55,20260922
407300,550000,10387.12,20260922
407310,1100000,16677.67,20260922
407820,1800000,6172.62,20260922
407830,2400000,14810.18,20260922
409810,2450000,5358.1,20260922
409820,12650000,21266.48,20260922
410870,1400000,8966.28,20260922
411060,149600000,26387.67,20260922
411420,4750000,27442.56,20260922
411540,1300000,17035.45,20260922
411860,300000,16294.36,20260922
412560,650000,1549.94,20260922
412570,146100000,1161.01,20260922
412770,5790000,12862.19,20260922
413220,1200000,4445.77,20260922
413930,550000,28382.23,20260922
414270,2150000,11564.35,20260922
414780,13800000,13841.49,20260922
415340,2070000,14137.32,20260922
415760,1360000,13135.27,20260922
415920,4700000,6484.88,20260922
416090,1600000,12747.25,20260922
417450,850000,15890.2,20260922
417630,1050000,19450.13,20260922
418660,17700000,41277.18,20260922
418670,3440000,18871.84,20260922
419420,1200000,8736.74,20260922
419430,2800000,8370.93,20260922
419650,3300000,4957.53,20260922
419890,580000,107436.49,20260922
421320,9600000,28287.69,20260922
422420,32760000,6646.75,20260922
423160,32743000,110855.8,20260922
423170,4460000,60140.7,20260922
423920,6770000,87516.53,20260922
426020,12680000,32136.42,20260922
426030,54820000,48156.5,20260922
426150,602000,50913.17,20260922
427120,680000,5128.21,20260922
428510,1700000,23699.53,20260922
428560,750000,15465.79,20260922
429000,14300000,12711.98,20260922
429010,500000,19072.02,20260922
429740,1000000,6172.89,20260922
429760,2300000,19454.43,20260922
429980,500000,17006.62,20260922
430500,100000,112593.98,20260922
432600,100000,55179.24,20260922
432840,800000,19647.31,20260922
433220,740000,29341.69,20260922
433250,250000,23508.35,20260922
433330,13700000,21845.08,20260922
433500,3800000,61198.58,20260922
433880,3610000,18472.49,20260922
433970,6800000,13912.34,20260922
433980,12150000,15769.94,20260922
434060,37800000,16764.33,20260922
434730,11750000,60388.31,20260922
434960,500000,112783.42,20260922
435040,600000,18932.23,20260922
435420,35900000,14142.79,20260922
435530,500000,15075.67,20260922
435540,500000,17018.29,20260922
435550,700000,17550.16,20260922
436140,11943000,105978.15,20260922
437070,346000,57610.51,20260922
437080,2315000,95978.56,20260922
437350,2200000,11901.09,20260922
437370,700000,10412.0,20260922
438080,89200000,13897.01,20260922
438100,62000000,15198.76,20260922
438320,4320000,4824.01,20260922
438330,4337000,115307.61,20260922
438560,1462000,100209.09,20260922
438570,1248000,97635.84,20260922
438740,225000,33999.04,20260922
438900,1300000,10826.53,20260922
439860,3264000,113432.57,20260922
439870,3194000,86633.98,20260922
440340,2250000,11689.47,20260922
440640,529000,112808.34,20260922
440650,3800000,11398.29,20260922
