isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR7394670004,394670,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),Solactive Global Lithium 지수(PR),주식,글로벌,산업·섹터,2차전지 셀 & 소재,글로벌 2차전지·배터리 소재,2차전지-배터리-소재-글로벌-2차전지-배터리-소재-67b702e271,active,plain,neutral,1X,unhedged,synthetic,unknown,PG-주식-글로벌-산업-섹터-2차전지-배터리-소재-글로벌-2차전지-배터-7663cbbcf9,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/글로벌 2차전지·배터리 소재),가능,
KR7395150006,395150,KODEX 웹툰&드라마,FnGuide 웹툰&드라마 지수,주식,국내,기타특수구조,K-엔터 & 미디어·게임,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-PENDING-395150-8c5a482958,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7395160005,395160,KODEX AI반도체TOP2플러스,FnGuide AI반도체 TOP2+ 지수,주식,국내,산업·섹터,AI 반도체 & HBM,국내 반도체,반도체-국내-반도체-0ed1f11677,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,ultra_concentrated,PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 반도체),가능,
KR7395170004,395170,KODEX Top10동일가중,FnGuide TOP10 동일가중 지수,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,concentrated,PG-PENDING-395170-c30f448eb9,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7395270002,395270,HANARO Fn K-반도체,FnGuide K-반도체 지수,주식,국내,산업·섹터,전통 반도체 소부장,국내 반도체,반도체-국내-반도체-0ed1f11677,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 반도체),가능,
KR7395280001,395280,HANARO Fn K-게임,FnGuide K-게임 지수,주식,국내,산업·섹터,K-엔터 & 미디어·게임,국내 미디어·게임·엔터테인먼트,미디어-게임-엔터테인먼트-국내-미디어-게임-엔터테인먼트-0ac91da332,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-미디어-게임-엔터테인먼트-국내-미디어-게임--48c79cc9a6,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미디어·게임·엔터테인먼트),가능,
KR7395290000,395290,HANARO Fn K-POP&미디어,FnGuide K-POP & 미디어 지수,주식,국내,산업·섹터,K-엔터 & 미디어·게임,국내 미디어·게임·엔터테인먼트,미디어-게임-엔터테인먼트-국내-미디어-게임-엔터테인먼트-0ac91da332,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,unknown,PG-주식-국내-산업-섹터-미디어-게임-엔터테인먼트-국내-미디어-게임--48c79cc9a6,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미디어·게임·엔터테인먼트),가능,
KR7395750003,395750,PLUS ESG가치주액티브,FnGuide 한화 ESG 가치 지수,주식,국내,스타일·팩터,스타일·팩터,국내 스타일·팩터,스타일-팩터-국내-스타일-팩터-bbac88fc35,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-주식-국내-스타일-팩터-스타일-팩터-국내-스타일-팩터-스타일-팩터-ac65317623,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 스타일·팩터),가능,
KR7395760002,395760,PLUS ESG성장주액티브,FnGuide 한화 ESG 성장 지수,주식,국내,스타일·팩터,스타일·팩터,국내 스타일·팩터,스타일-팩터-국내-스타일-팩터-bbac88fc35,active,plain,neutral,1X,unhedged_or_not_applicable,active,unknown,PG-주식-국내-스타일-팩터-스타일-팩터-국내-스타일-팩터-스타일-팩터-ac65317623,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 스타일·팩터),가능,
KR7396500001,396500,TIGER 반도체TOP10,FnGuide 반도체TOP10 지수,주식,국내,산업·섹터,전통 반도체 소부장,국내 반도체,반도체-국내-반도체-0ed1f11677,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,concentrated,PG-주식-국내-산업-섹터-반도체-국내-반도체-반도체-국내-반도체-0E-f4bdfa635d,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 반도체),가능,
